epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3540.61,1.45767,1.14015,0.94789,0.37649,0.28673,0.27951,0.15917,1.43521,1.10082,0.93689,0.0005941,0.0005941,0.0005941
43,3624.5,1.45325,1.1369,0.94415,0.37102,0.30318,0.28604,0.1617,1.42787,1.09477,0.9359,0.0005842,0.0005842,0.0005842
44,3709.35,1.46143,1.13616,0.94424,0.38015,0.29412,0.28503,0.16258,1.42876,1.08896,0.93489,0.0005743,0.0005743,0.0005743
45,3793,1.45653,1.13614,0.94288,0.38424,0.28958,0.28408,0.16235,1.42442,1.08954,0.93364,0.0005644,0.0005644,0.0005644
46,3877.21,1.45357,1.13298,0.94278,0.37235,0.29733,0.28311,0.16089,1.42689,1.089,0.93468,0.0005545,0.0005545,0.0005545
47,3961.37,1.44552,1.12493,0.9411,0.3758,0.29362,0.28272,0.16087,1.4282,1.09365,0.93494,0.0005446,0.0005446,0.0005446
48,4045.3,1.44578,1.1271,0.94034,0.37999,0.29338,0.28359,0.16131,1.42651,1.0846,0.93379,0.0005347,0.0005347,0.0005347
49,4129.03,1.44363,1.12243,0.93979,0.37593,0.29678,0.28538,0.16277,1.42238,1.08639,0.93235,0.0005248,0.0005248,0.0005248
50,4212.79,1.44414,1.11649,0.93942,0.38416,0.29798,0.28829,0.16325,1.42217,1.08528,0.9326,0.0005149,0.0005149,0.0005149
51,4296.77,1.43744,1.11501,0.93854,0.37731,0.30388,0.28881,0.16442,1.4197,1.08019,0.93232,0.000505,0.000505,0.000505
52,4380.83,1.43322,1.11049,0.93746,0.38029,0.29952,0.28873,0.16445,1.41711,1.0796,0.9319,0.0004951,0.0004951,0.0004951
53,4464.55,1.44093,1.11201,0.93798,0.37753,0.30445,0.28932,0.16495,1.41972,1.07899,0.93252,0.0004852,0.0004852,0.0004852
54,4548.35,1.44076,1.10791,0.93758,0.38252,0.30091,0.28919,0.16471,1.41741,1.07576,0.9321,0.0004753,0.0004753,0.0004753
55,4631.58,1.42907,1.10099,0.93831,0.38281,0.29924,0.28965,0.16474,1.42249,1.07593,0.93418,0.0004654,0.0004654,0.0004654
56,4715.96,1.43295,1.10274,0.93628,0.3809,0.29941,0.28964,0.16428,1.42,1.07634,0.93222,0.0004555,0.0004555,0.0004555
57,4799.85,1.42819,1.10014,0.93427,0.37687,0.30162,0.28921,0.16449,1.41978,1.07601,0.93118,0.0004456,0.0004456,0.0004456
58,4883.4,1.42259,1.0944,0.9353,0.38243,0.30453,0.29053,0.16517,1.41836,1.07139,0.93221,0.0004357,0.0004357,0.0004357
59,4967.07,1.43046,1.10094,0.93633,0.38018,0.30237,0.29078,0.16603,1.41618,1.07206,0.9316,0.0004258,0.0004258,0.0004258
60,5051.26,1.43253,1.0973,0.93466,0.3873,0.30471,0.29354,0.16743,1.41741,1.06776,0.9321,0.0004159,0.0004159,0.0004159
61,5134.79,1.42909,1.09524,0.93348,0.37619,0.30598,0.29344,0.16708,1.41209,1.06826,0.92864,0.000406,0.000406,0.000406
62,5218.29,1.42887,1.09285,0.93442,0.39028,0.30294,0.29292,0.16689,1.41181,1.06606,0.92883,0.0003961,0.0003961,0.0003961
63,5302.1,1.42986,1.09494,0.9346,0.37938,0.30796,0.29265,0.16674,1.40955,1.06911,0.92869,0.0003862,0.0003862,0.0003862
64,5385.84,1.42756,1.09371,0.93408,0.38744,0.30479,0.29302,0.16631,1.41416,1.06553,0.92928,0.0003763,0.0003763,0.0003763
65,5470.29,1.42584,1.08978,0.93295,0.38198,0.30849,0.29436,0.1674,1.41257,1.06689,0.92882,0.0003664,0.0003664,0.0003664
66,5553.65,1.42521,1.08965,0.93152,0.37994,0.30777,0.29357,0.16726,1.41529,1.06617,0.93022,0.0003565,0.0003565,0.0003565
67,5637.37,1.41985,1.08236,0.92996,0.39047,0.30386,0.29429,0.16712,1.41118,1.06461,0.92814,0.0003466,0.0003466,0.0003466
68,5720.9,1.41612,1.07647,0.9319,0.38959,0.30708,0.29538,0.16896,1.40539,1.06331,0.92689,0.0003367,0.0003367,0.0003367
69,5803.96,1.41417,1.07837,0.93198,0.39262,0.30168,0.2949,0.16819,1.40679,1.06515,0.92711,0.0003268,0.0003268,0.0003268
70,5887.34,1.42317,1.08553,0.93328,0.3892,0.30766,0.29695,0.16967,1.40489,1.06318,0.92627,0.0003169,0.0003169,0.0003169
71,5971.54,1.41717,1.07985,0.93332,0.39994,0.30432,0.29873,0.17034,1.40208,1.05813,0.92641,0.000307,0.000307,0.000307
72,6055.25,1.41499,1.07804,0.93148,0.3954,0.30891,0.29851,0.16988,1.40544,1.05747,0.92718,0.0002971,0.0002971,0.0002971
73,6138.82,1.40956,1.06925,0.92975,0.3935,0.30868,0.2989,0.17054,1.40263,1.05601,0.92613,0.0002872,0.0002872,0.0002872
74,6223.13,1.41565,1.0736,0.93143,0.3949,0.31003,0.29946,0.17042,1.40386,1.05609,0.92679,0.0002773,0.0002773,0.0002773
75,6306.17,1.39812,1.06447,0.92984,0.38771,0.31051,0.29802,0.16925,1.40412,1.05545,0.92723,0.0002674,0.0002674,0.0002674
