epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13125.2,1.07272,0.64538,0.88695,0.54298,0.40856,0.43039,0.26592,1.14768,0.82024,0.89597,0.0005941,0.0005941,0.0005941
43,13437.3,1.06532,0.64166,0.88191,0.53268,0.41617,0.43263,0.26553,1.15764,0.81975,0.89799,0.0005842,0.0005842,0.0005842
44,13749.8,1.06945,0.63982,0.88186,0.53689,0.4206,0.4338,0.26684,1.15386,0.81572,0.89837,0.0005743,0.0005743,0.0005743
45,14061.6,1.06524,0.63867,0.88185,0.5563,0.41227,0.43337,0.26666,1.15582,0.8224,0.89859,0.0005644,0.0005644,0.0005644
46,14374,1.06222,0.63328,0.88182,0.52643,0.42462,0.43241,0.26616,1.15077,0.81848,0.89763,0.0005545,0.0005545,0.0005545
47,14686.1,1.0561,0.62953,0.87954,0.54363,0.41226,0.43117,0.26613,1.15151,0.82357,0.8979,0.0005446,0.0005446,0.0005446
48,14998.3,1.05441,0.62836,0.87967,0.54248,0.4129,0.43239,0.26573,1.15434,0.81754,0.89866,0.0005347,0.0005347,0.0005347
49,15310.3,1.05103,0.62554,0.87861,0.54338,0.41713,0.43654,0.26901,1.15186,0.81262,0.8974,0.0005248,0.0005248,0.0005248
50,15622.5,1.05175,0.62122,0.87841,0.53502,0.41691,0.43422,0.26649,1.15459,0.8202,0.89872,0.0005149,0.0005149,0.0005149
51,15934.7,1.04517,0.61877,0.87728,0.55362,0.41178,0.4323,0.2661,1.15816,0.8334,0.89934,0.000505,0.000505,0.000505
52,16247.1,1.03941,0.61537,0.87621,0.53549,0.41542,0.43202,0.26633,1.15449,0.82354,0.89866,0.0004951,0.0004951,0.0004951
53,16559.2,1.04357,0.61366,0.876,0.54778,0.41327,0.43341,0.26726,1.15331,0.81769,0.89847,0.0004852,0.0004852,0.0004852
54,16871.3,1.04555,0.61343,0.87627,0.54641,0.42059,0.43776,0.27044,1.15145,0.8186,0.89836,0.0004753,0.0004753,0.0004753
55,17185.4,1.03383,0.60507,0.87659,0.5529,0.41138,0.43497,0.26849,1.15044,0.81911,0.89736,0.0004654,0.0004654,0.0004654
56,17497.7,1.0357,0.60488,0.87499,0.55606,0.40979,0.43455,0.2671,1.1522,0.81759,0.89753,0.0004555,0.0004555,0.0004555
57,17810.1,1.02905,0.60159,0.87266,0.55914,0.41002,0.43448,0.26788,1.15202,0.81934,0.89777,0.0004456,0.0004456,0.0004456
